student,keyid,dtype,vars,block,decl,varscop,constr,opaspr,arith,assgn,constl,logrel,exprn,ampas,sequen,itcpt,selcpt,funcs,pasaddr,funcpar,funcpro,nestit,multi,init,incdcr,countit,eventit,switch,fncdef,exitlp,return,break,conti,ifelse,callfnc,stdio,lrvalue,scanf,printf,ifseri,elseif,beflp,endlp,default,prepost
P1,Known,Known,-,-,-,-,-,-,Known,Known,Known,Known,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,Known,Known,-,-,-,-
P2,Known,Known,-,-,-,-,-,-,Known,Known,Known,notKnown,notKnown,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,Known,notKnown,-,-,-,-
P3,Known,Known,-,-,-,-,-,-,notKnown,Known,Known,Known,notKnown,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,Known,notKnown,-,-,-,-
P4,Known,Known,-,-,-,-,-,-,notKnown,notKnown,Known,notKnown,notKnown,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,notKnown,notKnown,-,-,-,-
P5,Known,Known,-,-,-,-,-,-,Known,notKnown,Known,notKnown,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,Known,Known,-,-,-,-
P6,Known,Known,-,-,-,-,-,-,notKnown,notKnown,Known,notKnown,notKnown,-,notKnown,-,-,-,-,-,-,-,notKnown,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,notKnown,notKnown,notKnown,-,-,-,-
P7,Known,Known,-,-,-,-,-,-,Known,Known,Known,Known,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,Known,Known,-,-,-,-
P8,Known,Known,-,-,-,-,-,-,Known,notKnown,Known,notKnown,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,notKnown,-,-,-,-,Known,Known,Known,-,-,-,-
P9,Known,Known,-,-,-,-,-,-,Known,Known,Known,Known,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,Known,Known,-,-,-,-
P10,Known,Known,-,-,-,-,-,-,Known,Known,Known,Known,notKnown,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,notKnown,-,-,-,-,Known,Known,Known,-,-,-,-
P11,Known,notKnown,-,-,-,-,-,-,notKnown,notKnown,Known,notKnown,notKnown,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,notKnown,-,-,-,-,notKnown,Known,notKnown,-,-,-,-
P12,Known,Known,-,-,-,-,-,-,notKnown,Known,Known,Known,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,notKnown,Known,-,-,-,-
P13,Known,Known,-,-,-,-,-,-,Known,Known,Known,Known,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,notKnown,-,-,-,-,Known,Known,Known,-,-,-,-
P14,Known,Known,-,-,-,-,-,-,Known,notKnown,Known,Known,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,Known,Known,-,-,-,-
P15,Known,Known,-,-,-,-,-,-,notKnown,notKnown,Known,Known,notKnown,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,notKnown,notKnown,-,-,-,-
P16,Known,Known,-,-,-,-,-,-,Known,Known,Known,Known,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,Known,Known,-,-,-,-
P17,Known,Known,-,-,-,-,-,-,Known,Known,Known,Known,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,Known,Known,-,-,-,-
P18,Known,Known,-,-,-,-,-,-,Known,Known,Known,notKnown,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,notKnown,Known,-,-,-,-
P19,Known,Known,-,-,-,-,-,-,Known,notKnown,Known,notKnown,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,notKnown,notKnown,-,-,-,-
P20,Known,Known,-,-,-,-,-,-,notKnown,Known,notKnown,notKnown,notKnown,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,Known,Known,-,-,-,-
P21,Known,Known,-,-,-,-,-,-,Known,notKnown,Known,notKnown,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,Known,Known,-,-,-,-
P22,Known,Known,-,-,-,-,-,-,Known,notKnown,Known,Known,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,notKnown,notKnown,-,-,-,-
P23,Known,Known,-,-,-,-,-,-,notKnown,notKnown,notKnown,Known,notKnown,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,notKnown,Known,Known,-,-,-,-
P24,Known,Known,-,-,-,-,-,-,Known,notKnown,Known,notKnown,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,notKnown,notKnown,-,-,-,-
P25,Known,Known,-,-,-,-,-,-,Known,notKnown,Known,notKnown,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,Known,Known,-,-,-,-
P26,Known,Known,-,-,-,-,-,-,Known,notKnown,notKnown,notKnown,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,notKnown,Known,-,-,-,-
P27,Known,Known,-,-,-,-,-,-,Known,notKnown,Known,notKnown,notKnown,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,notKnown,notKnown,Known,-,-,-,-
P28,Known,Known,-,-,-,-,-,-,Known,Known,Known,Known,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,Known,Known,-,-,-,-
P29,Known,Known,-,-,-,-,-,-,Known,Known,Known,notKnown,Known,-,notKnown,-,-,-,-,-,-,-,notKnown,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,Known,Known,-,-,-,-
P30,Known,Known,-,-,-,-,-,-,notKnown,Known,Known,Known,Known,-,Known,-,-,-,-,-,-,-,Known,-,-,-,-,-,-,-,-,-,-,Known,-,-,-,-,Known,Known,Known,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
